HAV13710092,C11943,HAV13710092HH1,1,HAV137,8,5/16/2020,NULL,5/30/2022,NULL,3/4/1900,64,3/4/1900,64,1,10,0,0,0,0,0,0,0,0,0,0,3.5.5
HAV13710109,C12015,HAV13710109HH1,1,HAV137,1/8/1900,10/15/2020,NULL,12/25/2022,NULL,2/23/1900,54,3/4/1900,54,1,10,0,0,0,0,0,0,0,0,0,0,3.5.5
HAV13710124,C18150,HAV13710124HH1,1,HAV137,1/8/1900,1/17/2021,NULL,8/2/2023,NULL,2/23/1900,54,2/23/1900,54,1,10,0,0,0,0,0,0,0,0,0,0,3.5.5
HAV13710125,C18147,HAV13710125HH1,1,HAV137,1/8/1900,1/24/2021,NULL,11/5/2021,NULL,3/5/1900,65,3/5/1900,65,1,10,0,0,0,0,0,0,0,0,0,0,3.5.5
HAV13710500,C14841,HAV13710500HH1,1,HAV137,1/8/1900,8/27/2021,NULL,11/19/2021,NULL,3/4/1900,64,3/4/1900,64,1,10,0,0,0,0,0,0,0,0,0,1,3.4.7
HAV13710509,C20358,HAV13710509HH1,1,HAV137,1/8/1900,8/29/2021,NULL,11/20/2021,NULL,3/4/1900,64,3/4/1900,64,1,10,0,0,0,0,0,0,0,0,0,0,3.5.5
HAV13710891,C18654,HAV13710891HH1,1,HAV137,1/8/1900,10/16/2021,NULL,11/23/2021,NULL,2/13/1900,44,2/13/1900,44,1,1,0,0,0,0,0,0,0,0,0,0,3.5.5
HAV13710952,C17460,HAV13710952HH1,1,HAV137,1/8/1900,10/22/2021,NULL,2/22/2022,NULL,3/4/1900,64,3/4/1900,64,1,10,0,0,0,0,0,0,0,0,1,1,3.4.7
HAV13711552,C22275,HAV13711552HH1,1,HAV137,1/8/1900,12/1/2021,NULL,7/11/2022,NULL,3/4/1900,64,3/4/1900,64,1,10,0,0,0,0,0,0,0,0,0,0,3.5.5
HAV13711784,C21741,HAV13711784HH1,1,HAV137,1/8/1900,12/9/2021,NULL,2/22/2022,NULL,3/4/1900,64,3/4/1900,64,1,10,0,0,0,0,0,0,0,0,0,0,3.5.5
