PopID,PersonalID,HouseholdID,Step
0,,,"9.1.0"
10,,"NBN10521231HH1","9.1.1"
10,,"NBN10522134HH1","9.1.1"
10,,"NBN10522542HH1","9.1.1"
10,,"NBN10523619HH1","9.1.1"
10,,"NBN10525353HH1","9.1.1"
10,,"NBN10525535HH1","9.1.1"
10,,"NBN10526007HH1","9.1.1"
10,,"NBN10526932HH1","9.1.1"
10,,"NBN10528426HH1","9.1.1"
10,,"NBN10528553HH1","9.1.1"
10,,"NBN10528593HH1","9.1.1"
10,,"NXS10220870HH1","9.1.1"
10,,"NXS10322694HH1","9.1.1"
10,,"NXS10328160HH1","9.1.1"
10,,"NXS10621778HH1","9.1.1"
10,,"NXS10622179HH1","9.1.1"
10,,"NXS10622261HH1","9.1.1"
10,,"NXS10622576HH1","9.1.1"
10,,"NXS10622794HH1","9.1.1"
10,,"NXS10623011HH1","9.1.1"
10,,"NXS10623245HH1","9.1.1"
10,,"NXS10623765HH1","9.1.1"
10,,"NXS10624766HH1","9.1.1"
10,,"NXS10625297HH1","9.1.1"
10,,"NXS10625315HH1","9.1.1"
10,,"NXS10625423HH1","9.1.1"
10,,"NXS10625697HH1","9.1.1"
10,,"NXS10625784HH1","9.1.1"
10,,"NXS10625977HH1","9.1.1"
10,,"NXS10626448HH1","9.1.1"
10,,"NXS10626786HH1","9.1.1"
10,,"NXS10626903HH1","9.1.1"
10,,"NXS10626927HH1","9.1.1"
10,,"NXS10627423HH1","9.1.1"
10,,"NXS10628098HH1","9.1.1"
10,,"NXS10721411HH1","9.1.1"
10,,"NXS10722347HH1","9.1.1"
10,,"NXS10722459HH1","9.1.1"
10,,"NXS10725990HH1","9.1.1"
10,,"NXS10727758HH1","9.1.1"
10,,"NXS10823478HH1","9.1.1"
10,,"NXS10823483HH1","9.1.1"
10,,"NXS10824413HH1","9.1.1"
10,,"NXS10824477HH1","9.1.1"
10,,"NXS10825017HH1","9.1.1"
10,,"NXS10826954HH1","9.1.1"
10,,"NXS10922077HH1","9.1.1"
10,,"NXS10922078HH1","9.1.1"
10,,"NXS10922181HH1","9.1.1"
10,,"NXS10922515HH1","9.1.1"
10,,"NXS10922537HH1","9.1.1"
10,,"NXS10922729HH1","9.1.1"
10,,"NXS10922730HH1","9.1.1"
10,,"NXS10924118HH1","9.1.1"
10,,"NXS10924237HH1","9.1.1"
10,,"NXS10924238HH1","9.1.1"
10,,"NXS10924648HH1","9.1.1"
10,,"NXS10924649HH1","9.1.1"
10,,"NXS10925744HH1","9.1.1"
10,,"NXS10925745HH1","9.1.1"
10,,"NXS10928145HH1","9.1.1"
10,,"NXS10928484HH1","9.1.1"
10,,"NXS11023348HH1","9.1.1"
10,,"NXS11025494HH1","9.1.1"
10,,"NXS11025520HH1","9.1.1"
10,,"NXS11027305HH1","9.1.1"
10,,"NXS11028261HH1","9.1.1"
10,,"NXS11122524HH1","9.1.1"
10,,"NXS11123956HH1","9.1.1"
10,,"NXS11126699HH2","9.1.1"
10,,"NXS11127170HH2","9.1.1"
10,,"NXS11128013HH1","9.1.1"
10,,"NXS11224723HH1","9.1.1"
10,,"NXS11225187HH1","9.1.1"
10,,"NXS11225673HH1","9.1.1"
10,,"NXS11226389HH1","9.1.1"
10,,"NXS11226555HH1","9.1.1"
10,,"NXS11227819HH1","9.1.1"
10,,"NXS11228216HH1","9.1.1"
10,,"NXS11228596HH1","9.1.1"
10,,"NXS11322000HH1","9.1.1"
10,,"NXS11322227HH1","9.1.1"
10,,"NXS11322387HH1","9.1.1"
10,,"NXS11322636HH1","9.1.1"
10,,"NXS11322704HH1","9.1.1"
10,,"NXS11322778HH1","9.1.1"
10,,"NXS11323850HH1","9.1.1"
10,,"NXS11323871HH1","9.1.1"
10,,"NXS11324023HH1","9.1.1"
10,,"NXS11324272HH1","9.1.1"
10,,"NXS11324491HH1","9.1.1"
10,,"NXS11325254HH1","9.1.1"
10,,"NXS11325400HH1","9.1.1"
10,,"NXS11325799HH1","9.1.1"
10,,"NXS11326857HH1","9.1.1"
10,,"NXS11327560HH1","9.1.1"
10,,"NXS11327611HH1","9.1.1"
10,,"NXS11327791HH1","9.1.1"
10,,"NXS11421099HH1","9.1.1"
10,,"NXS11421504HH1","9.1.1"
10,,"NXS11425048HH1","9.1.1"
10,,"NXS11425860HH1","9.1.1"
10,,"NXS11428034HH1","9.1.1"
10,,"NXS11621857HH1","9.1.1"
10,,"NXS11621955HH1","9.1.1"
10,,"NXS11622029HH1","9.1.1"
10,,"NXS11622932HH1","9.1.1"
10,,"NXS11623689HH1","9.1.1"
10,,"NXS11623753HH1","9.1.1"
10,,"NXS11624334HH1","9.1.1"
10,,"NXS11624349HH1","9.1.1"
10,,"NXS11624778HH1","9.1.1"
10,,"NXS11625461HH1","9.1.1"
10,,"NXS11625476HH1","9.1.1"
10,,"NXS11626317HH1","9.1.1"
10,,"NXS11626318HH1","9.1.1"
10,,"NXS11626366HH1","9.1.1"
10,,"NXS11627233HH1","9.1.1"
10,,"NXS11627463HH1","9.1.1"
10,,"NXS11627655HH1","9.1.1"
10,,"NXS11627832HH1","9.1.1"
10,,"NXS11628064HH1","9.1.1"
10,,"NXS11628104HH1","9.1.1"
10,,"NXS11628146HH1","9.1.1"
10,,"NXS11628582HH1","9.1.1"
10,,"NXS12722949HH1","9.1.1"
10,,"NXS12723141HH1","9.1.1"
10,,"NXS12723200HH1","9.1.1"
10,,"NXS12723264HH1","9.1.1"
10,,"NXS12723406HH1","9.1.1"
10,,"NXS12723433HH1","9.1.1"
10,,"NXS12724710HH1","9.1.1"
10,,"NXS12922172HH1","9.1.1"
10,,"NXS12923693HH1","9.1.1"
10,,"NXS12924040HH1","9.1.1"
10,,"NXS12925698HH1","9.1.1"
10,,"NXS12925957HH1","9.1.1"
10,,"NXS12928323HH1","9.1.1"
10,,"NXS12928324HH1","9.1.1"
10,,"NXS13525195HH1","9.1.1"
10,,"NXS13526665HH1","9.1.1"
10,,"NXS13527127HH1","9.1.1"
10,,"NXS13527253HH1","9.1.1"
10,,"NXS13527504HH1","9.1.1"
10,,"NXS13822516HH1","9.1.1"
10,,"NXS13823643HH1","9.1.1"
10,,"NXS13826139HH1","9.1.1"
10,,"NXS13826300HH1","9.1.1"
10,,"NXS14722394HH1","9.1.1"
10,,"NXS14722856HH1","9.1.1"
10,,"NXS14722985HH1","9.1.1"
10,,"NXS14723899HH1","9.1.1"
10,,"NXS14724257HH1","9.1.1"
10,,"NXS14724646HH1","9.1.1"
10,,"NXS15122417HH2","9.1.1"
10,,"NXS15126146HH1","9.1.1"
10,,"RRH12621624HH1","9.1.1"
10,,"RRH13121774HH1","9.1.1"
10,,"RRH13123376HH1","9.1.1"
10,,"RRH13216800HH1","9.1.1"
10,,"RRH13223358HH1","9.1.1"
10,,"RRH14022378HH1","9.1.1"
10,,"RRH14119128HH1","9.1.1"
10,,"RRH15317095HH1","9.1.1"
10,,"RRH15317500HH1","9.1.1"
10,,"RRH15318656HH1","9.1.1"
10,,"RRH15319367HH1","9.1.1"
10,,"RRH15319840HH1","9.1.1"
10,,"RRH15322457HH1","9.1.1"
10,,"RRH15322469HH1","9.1.1"
10,,"RRH15324991HH1","9.1.1"
10,,"RRH15325112HH1","9.1.1"
10,,"RRH15325263HH1","9.1.1"
10,,"RRH15517757HH1","9.1.1"
10,,"RRH15722024HH1","9.1.1"
10,,"RRH15823890HH1","9.1.1"
10,,"RRH15825715HH1","9.1.1"
10,,"RRH15923111HH2","9.1.1"
10,,"RRH15927387HH1","9.1.1"
10,,"RRH15927389HH1","9.1.1"
10,,"RRH15927469HH1","9.1.1"
10,,"RRH16120057HH1","9.1.1"
10,,"RRH16120300HH1","9.1.1"
10,,"RRH16121645HH1","9.1.1"
10,,"RRH16122396HH1","9.1.1"
10,,"TRN10425070HH1","9.1.1"
10,,"TRN10425791HH1","9.1.1"
10,,"TRN10425899HH1","9.1.1"
10,,"TRN11722635HH1","9.1.1"
10,,"TRN11723227HH1","9.1.1"
11,,"NBN10522071HH1","9.1.2"
11,,"NBN10522138HH1","9.1.2"
11,,"NBN10522217HH1","9.1.2"
11,,"NBN10522505HH1","9.1.2"
11,,"NBN10522550HH1","9.1.2"
11,,"NBN10522610HH1","9.1.2"
11,,"NBN10523051HH1","9.1.2"
11,,"NBN10523963HH1","9.1.2"
11,,"NBN10524475HH1","9.1.2"
11,,"NBN10524548HH1","9.1.2"
11,,"NBN10525106HH1","9.1.2"
11,,"NBN10525212HH1","9.1.2"
11,,"NBN10526157HH1","9.1.2"
11,,"NBN10526297HH1","9.1.2"
11,,"NBN10527831HH1","9.1.2"
11,,"NBN10528348HH1","9.1.2"
11,,"NBN10528471HH1","9.1.2"
11,,"NBN10528530HH1","9.1.2"
11,,"NBN10528637HH1","9.1.2"
11,,"NXS10221505HH2","9.1.2"
11,,"NXS10223391HH1","9.1.2"
11,,"NXS10223504HH1","9.1.2"
11,,"NXS10227366HH2","9.1.2"
11,,"NXS10327695HH1","9.1.2"
11,,"NXS10621923HH1","9.1.2"
11,,"NXS10622582HH1","9.1.2"
11,,"NXS10623039HH1","9.1.2"
11,,"NXS10624222HH1","9.1.2"
11,,"NXS10625934HH1","9.1.2"
11,,"NXS10626120HH1","9.1.2"
11,,"NXS10626177HH2","9.1.2"
11,,"NXS10626431HH1","9.1.2"
11,,"NXS10627327HH1","9.1.2"
11,,"NXS10627391HH1","9.1.2"
11,,"NXS10628255HH1","9.1.2"
11,,"NXS10628259HH1","9.1.2"
11,,"NXS10628523HH1","9.1.2"
11,,"NXS10628580HH1","9.1.2"
11,,"NXS10720519HH1","9.1.2"
11,,"NXS10721954HH1","9.1.2"
11,,"NXS10725953HH1","9.1.2"
11,,"NXS10726410HH1","9.1.2"
11,,"NXS10822047HH1","9.1.2"
11,,"NXS10822589HH1","9.1.2"
11,,"NXS10825638HH1","9.1.2"
11,,"NXS10825726HH1","9.1.2"
11,,"NXS10826882HH1","9.1.2"
11,,"NXS10827652HH1","9.1.2"
11,,"NXS10828597HH1","9.1.2"
11,,"NXS10922600HH1","9.1.2"
11,,"NXS10922835HH1","9.1.2"
11,,"NXS10922924HH1","9.1.2"
11,,"NXS10923374HH1","9.1.2"
11,,"NXS10923928HH1","9.1.2"
11,,"NXS10924169HH1","9.1.2"
11,,"NXS10925099HH1","9.1.2"
11,,"NXS10926526HH1","9.1.2"
11,,"NXS10926979HH1","9.1.2"
11,,"NXS11023271HH1","9.1.2"
11,,"NXS11023349HH1","9.1.2"
11,,"NXS11026265HH1","9.1.2"
11,,"NXS11027974HH1","9.1.2"
11,,"NXS11028250HH1","9.1.2"
11,,"NXS11121418HH2","9.1.2"
11,,"NXS11224535HH1","9.1.2"
11,,"NXS11225511HH1","9.1.2"
11,,"NXS11226121HH1","9.1.2"
11,,"NXS11226781HH1","9.1.2"
11,,"NXS11321863HH1","9.1.2"
11,,"NXS11322498HH1","9.1.2"
11,,"NXS11322943HH1","9.1.2"
11,,"NXS11323488HH1","9.1.2"
11,,"NXS11323539HH1","9.1.2"
11,,"NXS11323666HH1","9.1.2"
11,,"NXS11323668HH1","9.1.2"
11,,"NXS11323702HH1","9.1.2"
11,,"NXS11323834HH1","9.1.2"
11,,"NXS11324034HH1","9.1.2"
11,,"NXS11324394HH1","9.1.2"
11,,"NXS11324401HH1","9.1.2"
11,,"NXS11325262HH1","9.1.2"
11,,"NXS11325333HH1","9.1.2"
11,,"NXS11325439HH1","9.1.2"
11,,"NXS11325894HH1","9.1.2"
11,,"NXS11326189HH1","9.1.2"
11,,"NXS11326251HH1","9.1.2"
11,,"NXS11326395HH1","9.1.2"
11,,"NXS11326590HH1","9.1.2"
11,,"NXS11327191HH1","9.1.2"
